Departamento,Provincia,Distrito,Latitud,Longitud
CUSCO,CALCA,SAN SALVADOR,-13.48821465,-71.77420288
CUSCO,QUISPICANCHI,OCONGATE,-13.68767485,-71.26896132
CUSCO,QUISPICANCHI,OROPESA,-13.57409035,-71.7886512
HUANCAVELICA,CASTROVIRREYNA,TICRAPO,-13.41806436,-75.40974361
HUANCAVELICA,CASTROVIRREYNA,MOLLEPAMPA,-13.29188754,-75.43199343
HUANCAVELICA,CASTROVIRREYNA,ARMA,-13.11048477,-75.51114858
HUANCAVELICA,CASTROVIRREYNA,TANTARA,-13.12655949,-75.62136142
HUANCAVELICA,CASTROVIRREYNA,AURAHUA,-12.95667182,-75.44279534
HUANCAVELICA,CASTROVIRREYNA,SANTA ANA,-13.08816317,-75.13118049
HUANCAVELICA,ANGARAES,LIRCAY,-13.10373233,-74.73754655
HUANCAVELICA,ANGARAES,CCOCHACCASA,-12.93505737,-74.805184
HUANCAVELICA,ANGARAES,ANCHONGA,-12.88732403,-74.70603859
HUANCAVELICA,ACOBAMBA,CAJA,-12.87287923,-74.47342049
HUANCAVELICA,ANGARAES,HUANCA-HUANCA,-12.96479976,-74.62646493
HUANCAVELICA,ANGARAES,CHINCHO,-12.98476787,-74.34319045
HUANCAVELICA,ACOBAMBA,ANTA,-12.81728126,-74.66384792
HUANCAVELICA,TAYACAJA,ÑAHUIMPUQUIO,-12.32918683,-75.09110537
HUANCAVELICA,TAYACAJA,QUISHUAR,-12.24978052,-74.76720263
HUANCAVELICA,TAYACAJA,SALCABAMBA,-12.19490663,-74.78322004
HUANCAVELICA,TAYACAJA,SALCAHUASI,-12.10650716,-74.75144066
HUANCAVELICA,CHURCAMPA,CHURCAMPA,-12.71049794,-74.38487676
HUANCAVELICA,TAYACAJA,QUICHUAS,-12.46782632,-74.72739328
HUANCAVELICA,CHURCAMPA,ANCO,-12.64353316,-74.56305347
ICA,PISCO,HUANCANO,-13.55519135,-75.61591071
JUNIN,HUANCAYO,HUANCAN,-12.11051721,-75.20409806
JUNIN,HUANCAYO,HUANCAYO,-11.99332321,-75.07127997
JUNIN,CONCEPCION,CONCEPCION,-11.91246164,-75.31351516
JUNIN,HUANCAYO,INGENIO,-11.85373644,-75.22295627
JUNIN,CONCEPCION,NUEVE DE JULIO,-11.8898987,-75.31462717
JUNIN,HUANCAYO,SICAYA,-12.01905766,-75.287509
JUNIN,HUANCAYO,HUALHUAS,-11.96797554,-75.24412038
JUNIN,CONCEPCION,ACO,-11.95533655,-75.39707968
JUNIN,HUANCAYO,HUASICANCHA,-12.37122381,-75.28608902
JUNIN,HUANCAYO,CHONGOS ALTO,-12.48565779,-75.43725244
JUNIN,HUANCAYO,CULLHUAS,-12.2517931,-75.15470286
JUNIN,HUANCAYO,HUACRAPUQUIO,-12.18669986,-75.20935092
JUNIN,HUANCAYO,CHUPURO,-12.20982895,-75.24113228
ANCASH,SANTA,COISHCO,-9.027582498,-78.61845191
AMAZONAS,UTCUBAMBA,CUMBA,-5.9167249,-78.60770745
AMAZONAS,CONDORCANQUI,NIEVA,-4.84542432,-77.93037318
AMAZONAS,CHACHAPOYAS,BALSAS,-6.807726336,-77.94916585
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,-6.808897245,-77.79870703
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,-6.578903151,-77.77000231
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,-6.628106222,-77.71837791
AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,-6.553079363,-77.57603116
AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,-6.435571363,-77.53056435
