Departamento;Provincia;Distrito;Latitud;Longitud
HUANUCO;LAURICOCHA;QUEROPALCA;-10.1875141175;-76.8658586337
HUANUCO;LAURICOCHA;SAN FRANCISCO DE ASIS;-9.97837088591;-76.6275119727
HUANUCO;PACHITEA;CHAGLLA;-9.73716015095;-75.79755351
HUANUCO;HUANUCO;SANTA MARIA DEL VALLE;-9.79337577961;-76.3126551596
HUANUCO;DOS DE MAYO;SILLAPATA;-9.79382586453;-76.7668629183
HUANUCO;PACHITEA;UMARI;-9.86812743902;-76.0279003042
HUANUCO;LAURICOCHA;BAÑOS;-10.1073697476;-76.7838631915
HUANUCO;LAURICOCHA;RONDOS;-9.9684919655;-76.7204463127
HUANUCO;HUAMALIES;MONZON;-9.33110709177;-76.3878776176
HUANUCO;HUAMALIES;PUNCHAO;-9.44146126567;-76.8364898305
HUANUCO;HUAMALIES;PUÑOS;-9.50308383346;-76.8968995756
HUANUCO;HUAMALIES;TANTAMAYO;-9.37557251773;-76.6700220973
HUANUCO;HUACAYBAMBA;HUACAYBAMBA;-8.95863902123;-76.8392997078
HUANUCO;PUERTO INCA;HONORIA;-8.71386504386;-74.6968413735
JUNIN;JUNIN;ULCUMAYO;-10.9044673659;-75.6839640052
HUANUCO;PUERTO INCA;YUYAPICHIS;-9.64737877932;-74.9984863634
LORETO;UCAYALI;CONTAMANA;-7.78115897487;-75.3494034681
LORETO;UCAYALI;PADRE MARQUEZ;-7.87940345424;-74.9143173102
SAN MARTIN;PICOTA;CASPISAPA;-6.92050640789;-76.4220117965
APURIMAC;COTABAMBAS;COTABAMBAS;-13.7512825446;-72.3412863374
APURIMAC;CHINCHEROS;URANMARCA;-13.6684591326;-73.6525014326
APURIMAC;ANDAHUAYLAS;SANTA MARIA DE CHICMO;-13.6611570649;-73.546269545
APURIMAC;ABANCAY;TAMBURCO;-13.5781368228;-72.8719639032
CUSCO;CHUMBIVILCAS;CAPACMARCA;-14.043833628;-71.9934865584
CUSCO;CHUMBIVILCAS;CHAMACA;-14.3344205815;-71.8769133107
CUSCO;CANAS;LAYO;-14.5287982228;-71.0919648099
CUSCO;CANCHIS;CHECACUPE;-14.0059389457;-71.0667868809
CUSCO;ACOMAYO;POMACANCHI;-14.0536365003;-71.6238983502
AYACUCHO;LUCANAS;LEONCIO PRADO;-14.6714813213;-74.6157225227
AYACUCHO;PAUCAR DEL SARA SARA;CORCULLA;-15.2618235174;-73.218652534
AYACUCHO;PAUCAR DEL SARA SARA;PAUSA;-15.3207077009;-73.3579318395
